Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_FSM  |ENTER  |-|framework/fsm/library/fsm.cpp:119|State|name = controllerTesterStateTop, parentRef = (null)
Apr 07 13:43:07.434 acc-5g-t user.info |1:1689244480|FRM_MEM  |       |-|framework/system/memory/module/memory.cpp:79|MemoryProd|Support for atomics is enabled
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2bda7e0
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2bda810
Apr 07 13:43:07.434 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:166|State|Child list controllerTesterStateTop - start
Apr 07 13:43:07.434 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2bda810: Parent (null) = 0 ((nil),0x2bda7e0)
Apr 07 13:43:07.434 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2bda7e0: Parent controllerTesterStateTop = 1 (0x2bda810,(nil))
Apr 07 13:43:07.434 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:178|State|Child list controllerTesterStateTop - end
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_FSM  |EXIT   |-|framework/fsm/library/fsm.cpp:180|State|void
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_FSM  |ENTER  |-|framework/fsm/library/fsm.cpp:119|State|name = controllerTesterStateIdle, parentRef = controllerTesterStateTop
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2bdada0
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2bdadd0
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_MEM  |ENTER  |-|framework/system/memory/module/memory.cpp:109|poolAlloc|size = 32
Apr 07 13:43:07.434 acc-5g-t user.debug|1:1689244480|FRM_MEM  |EXIT   |-|framework/system/memory/module/memory.cpp:114|poolAlloc|mem = 0x2bdae00
Apr 07 13:43:07.434 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:166|State|Child list controllerTesterStateIdle - start
Apr 07 13:43:07.434 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2bdae00: Parent (null) = 0 ((nil),0x2bdadd0)
Apr 07 13:43:07.434 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2bdadd0: Parent controllerTesterStateTop = 1 (0x2bdae00,0x2bdada0)
Apr 07 13:43:07.434 acc-5g-t user.info |1:1689244480|FRM_FSM  |       |-|framework/fsm/library/fsm.cpp:175|State|0x2bdada0: Parent controllerTesterStateIdle = 2 (0x2bdadd0,(nil))
